                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1556,                 1.5543,                 1.1467,                0.61521,                0.70745,                0.67392,                0.45806,                 1.0594,                 1.0909,                 1.0798,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.0987,                 1.0613,                 1.0924,                0.66408,                0.72005,                0.70974,                0.48068,                 1.0759,                 1.0683,                  1.088,              0.0065984,              0.0065984,              0.0065984
                      3,                 1.1578,                  1.134,                 1.1256,                0.66367,                0.67662,                0.69464,                0.46139,                 1.1297,                 1.1083,                 1.1355,              0.0097998,              0.0097998,              0.0097998
                      4,                 1.1986,                 1.1681,                 1.1495,                0.67944,                0.71314,                 0.7265,                0.49356,                  1.083,                0.99882,                 1.1153,               0.009703,               0.009703,               0.009703
                      5,                 1.1494,                  1.071,                 1.1277,                0.67068,                0.74723,                0.74207,                0.50924,                 1.0551,                0.94029,                 1.0945,               0.009604,               0.009604,               0.009604
                      6,                 1.1157,                 1.0044,                 1.1073,                0.70155,                0.75662,                0.77555,                0.54175,                 1.0172,                0.85617,                 1.0636,               0.009505,               0.009505,               0.009505
                      7,                 1.0864,                0.95639,                 1.0935,                0.71206,                0.76151,                0.78782,                0.55591,                0.98416,                0.83285,                 1.0555,               0.009406,               0.009406,               0.009406
                      8,                 1.0693,                0.92223,                  1.084,                  0.731,                0.75277,                0.78454,                0.55868,                0.97574,                 0.8234,                 1.0531,               0.009307,               0.009307,               0.009307
                      9,                 1.0469,                0.89342,                 1.0745,                0.74265,                0.79227,                0.80534,                0.57767,                0.95748,                0.76824,                 1.0374,               0.009208,               0.009208,               0.009208
                     10,                  1.038,                0.87259,                  1.069,                0.75972,                0.77362,                0.81141,                0.58664,                0.94289,                0.75699,                 1.0315,               0.009109,               0.009109,               0.009109
                     11,                 1.0229,                0.85498,                 1.0629,                0.73043,                0.79685,                0.81044,                0.59292,                0.92716,                0.74244,                 1.0212,                0.00901,                0.00901,                0.00901
                     12,                 1.0153,                0.83726,                 1.0579,                0.75886,                0.78441,                0.82317,                0.60238,                0.91414,                0.71821,                 1.0163,               0.008911,               0.008911,               0.008911
                     13,                 1.0008,                 0.8171,                 1.0502,                0.75396,                0.80131,                0.82388,                 0.6033,                 0.9117,                 0.7073,                 1.0163,               0.008812,               0.008812,               0.008812
                     14,                 0.9952,                0.80873,                 1.0496,                0.75258,                0.79787,                0.83148,                0.61456,                0.89433,                0.68692,                 1.0039,               0.008713,               0.008713,               0.008713
                     15,                0.98299,                0.79217,                 1.0416,                0.75916,                0.80296,                0.83281,                0.61807,                 0.8874,                 0.6828,                0.99904,               0.008614,               0.008614,               0.008614
                     16,                0.97924,                0.78406,                 1.0409,                0.75912,                0.80681,                0.83845,                 0.6258,                0.87791,                0.66612,                0.99835,               0.008515,               0.008515,               0.008515
                     17,                0.96705,                0.77168,                 1.0345,                0.76782,                0.80052,                0.84265,                0.63075,                0.87037,                0.64952,                0.98988,               0.008416,               0.008416,               0.008416
                     18,                0.96589,                0.76571,                 1.0353,                0.77609,                 0.8063,                0.84535,                0.63439,                 0.8654,                0.64866,                0.98804,               0.008317,               0.008317,               0.008317
                     19,                0.95841,                0.75978,                  1.032,                0.77319,                0.81056,                0.84695,                0.63487,                0.86173,                0.63694,                0.98471,               0.008218,               0.008218,               0.008218
                     20,                 0.9501,                0.74444,                 1.0285,                0.76987,                0.81292,                0.84765,                0.63951,                0.84989,                0.63216,                0.97927,               0.008119,               0.008119,               0.008119
                     21,                0.94448,                0.73984,                 1.0221,                0.76784,                0.81643,                0.85255,                0.64355,                0.84836,                0.62312,                0.97765,                0.00802,                0.00802,                0.00802
                     22,                0.93832,                0.73294,                 1.0214,                 0.7521,                0.81282,                0.84596,                0.64175,                0.84319,                0.62463,                 0.9753,               0.007921,               0.007921,               0.007921
                     23,                0.93518,                0.72608,                 1.0192,                0.78354,                0.81097,                0.85043,                0.64697,                0.83675,                0.61202,                 0.9703,               0.007822,               0.007822,               0.007822
                     24,                0.93047,                0.72285,                 1.0159,                0.78416,                0.80705,                 0.8526,                0.65067,                0.83174,                0.60868,                0.97134,               0.007723,               0.007723,               0.007723
                     25,                0.92389,                0.71229,                 1.0123,                0.76956,                0.81959,                0.85478,                0.65164,                0.82693,                0.60144,                0.96524,               0.007624,               0.007624,               0.007624
                     26,                0.92496,                0.70769,                 1.0138,                0.77706,                0.82434,                0.85914,                0.65553,                0.82599,                0.59453,                0.96695,               0.007525,               0.007525,               0.007525
                     27,                0.91594,                0.70939,                 1.0117,                0.78557,                0.81604,                0.86047,                0.65825,                0.81962,                0.58466,                0.96219,               0.007426,               0.007426,               0.007426
                     28,                0.91343,                0.69732,                  1.008,                 0.7854,                0.82165,                0.85893,                0.65912,                 0.8178,                0.58515,                0.96143,               0.007327,               0.007327,               0.007327
                     29,                0.90872,                0.69559,                 1.0066,                0.78887,                0.81628,                0.86173,                0.66119,                0.81324,                0.58404,                0.95891,               0.007228,               0.007228,               0.007228
                     30,                0.90803,                0.68982,                 1.0059,                0.78516,                0.82196,                 0.8607,                0.66292,                   0.81,                0.58151,                0.95719,               0.007129,               0.007129,               0.007129
                     31,                0.90374,                0.68886,                 1.0044,                 0.7867,                0.82556,                0.86257,                0.66465,                0.80908,                  0.575,                0.95715,                0.00703,                0.00703,                0.00703
                     32,                0.89451,                0.68174,                 1.0005,                0.78641,                0.81954,                0.86265,                0.66489,                0.80532,                0.57359,                0.95666,               0.006931,               0.006931,               0.006931
                     33,                 0.8981,                0.67736,                 1.0028,                 0.7861,                0.81969,                0.86378,                0.66583,                0.80205,                0.57241,                0.95495,               0.006832,               0.006832,               0.006832
                     34,                0.88869,                0.66469,                0.99914,                 0.7847,                 0.8258,                0.86518,                0.66764,                0.80096,                0.57001,                0.95319,               0.006733,               0.006733,               0.006733
                     35,                0.88796,                0.66795,                0.99758,                0.78908,                 0.8186,                0.86454,                0.66861,                0.79861,                0.56918,                0.95173,               0.006634,               0.006634,               0.006634
                     36,                0.88525,                0.66558,                0.99423,                0.79106,                0.81734,                0.86523,                0.66957,                0.79748,                0.56744,                0.95027,               0.006535,               0.006535,               0.006535
                     37,                0.88136,                0.66071,                0.99535,                0.78845,                0.82084,                0.86581,                0.67014,                0.79583,                0.56502,                 0.9499,               0.006436,               0.006436,               0.006436
                     38,                0.87862,                0.65889,                0.99371,                0.79107,                0.81911,                0.86524,                0.67081,                0.79418,                0.56516,                0.94929,               0.006337,               0.006337,               0.006337
                     39,                0.85956,                0.63271,                0.98459,                0.78892,                0.82418,                0.86642,                 0.6722,                0.79825,                0.54473,                 0.9485,               0.006238,               0.006238,               0.006238
                     40,                0.87185,                0.64786,                 0.9885,                0.79285,                0.82246,                0.86672,                0.67281,                0.79657,                0.54239,                0.94749,               0.006139,               0.006139,               0.006139
                     41,                0.86584,                0.64192,                0.98556,                0.78728,                 0.8258,                0.86728,                0.67355,                0.79549,                0.54068,                 0.9462,                0.00604,                0.00604,                0.00604
                     42,                0.86945,                0.64261,                0.98736,                0.78891,                0.82454,                0.86821,                0.67469,                0.79382,                0.53918,                0.94489,               0.005941,               0.005941,               0.005941
                     43,                0.86144,                0.63502,                0.98436,                0.80184,                 0.8139,                0.86828,                0.67505,                0.79264,                0.53788,                0.94409,               0.005842,               0.005842,               0.005842
                     44,                 0.8592,                0.63319,                0.98267,                0.79749,                0.81903,                0.86879,                0.67587,                0.79118,                 0.5364,                0.94325,               0.005743,               0.005743,               0.005743
                     45,                0.85591,                0.63112,                0.98289,                0.80365,                0.81411,                0.86907,                0.67603,                0.79003,                0.53476,                0.94254,               0.005644,               0.005644,               0.005644
                     46,                 0.8551,                0.62523,                0.97991,                0.80201,                0.81557,                0.86947,                0.67687,                0.78941,                0.53425,                0.94182,               0.005545,               0.005545,               0.005545
                     47,                0.84909,                0.62507,                0.97952,                0.79846,                0.81919,                0.86981,                0.67725,                0.78815,                0.53306,                0.94096,               0.005446,               0.005446,               0.005446
                     48,                0.84892,                0.62189,                0.97738,                0.79791,                 0.8208,                0.87043,                0.67786,                0.78693,                0.53164,                0.94033,               0.005347,               0.005347,               0.005347
