                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.1935,1.5349,1.0949,0.65271,0.67254,0.64745,0.4304,1.1081,1.2329,1.056,0.00036894,0.00036894,0.00036894
2,1.1607,1.0791,1.0717,0.61397,0.66307,0.64982,0.41717,1.147,1.2461,1.0854,0.00073196,0.00073196,0.00073196
3,1.1536,1.0428,1.0697,0.72524,0.73497,0.75061,0.51003,1.0906,0.9971,1.0539,0.0010876,0.0010876,0.0010876
4,1.141,0.98343,1.0583,0.70455,0.69768,0.7251,0.50001,1.0558,1.0036,1.036,0.001078,0.001078,0.001078
5,1.1181,0.94798,1.0496,0.65521,0.71722,0.75104,0.52673,1.0712,0.95388,1.0508,0.001067,0.001067,0.001067
6,1.0963,0.91376,1.0398,0.69651,0.75591,0.74426,0.52538,1.0195,0.88587,1.0261,0.001056,0.001056,0.001056
7,1.0696,0.87356,1.0261,0.67528,0.81607,0.79296,0.56525,1.0125,0.83856,1.0207,0.001045,0.001045,0.001045
8,1.066,0.85349,1.0265,0.70925,0.77351,0.78238,0.54554,1.0244,0.82559,1.0281,0.001034,0.001034,0.001034
9,1.0528,0.83989,1.0154,0.75307,0.77555,0.81711,0.58687,0.98078,0.83628,1.0043,0.001023,0.001023,0.001023
10,1.0458,0.82319,1.0165,0.73197,0.8265,0.80626,0.58612,0.98603,0.8135,1.0041,0.001012,0.001012,0.001012
11,1.0354,0.80946,1.0152,0.72042,0.7624,0.78674,0.56637,0.96885,0.8152,1.0018,0.001001,0.001001,0.001001
12,1.0299,0.80683,1.0028,0.76067,0.81133,0.8328,0.60818,0.97009,0.7512,0.9927,0.00099001,0.00099001,0.00099001
13,1.0144,0.79212,1.0015,0.76202,0.83637,0.84797,0.61463,0.96973,0.74789,0.99175,0.00097901,0.00097901,0.00097901
14,1.015,0.76539,0.99704,0.76983,0.82528,0.84754,0.624,0.94625,0.76111,0.98958,0.00096801,0.00096801,0.00096801
15,0.99874,0.75566,0.99306,0.76388,0.81073,0.8289,0.6099,0.95868,0.75264,0.98721,0.00095702,0.00095702,0.00095702
16,0.98712,0.75229,0.98675,0.76372,0.82294,0.84795,0.62491,0.95137,0.72116,0.99144,0.00094602,0.00094602,0.00094602
17,0.97949,0.74472,0.98445,0.70938,0.84353,0.84227,0.62185,0.95337,0.73363,0.99071,0.00093502,0.00093502,0.00093502
18,0.97645,0.73521,0.98352,0.75965,0.8193,0.85125,0.63188,0.94702,0.72244,0.98677,0.00092402,0.00092402,0.00092402
19,0.98057,0.73817,0.98391,0.75383,0.83053,0.84507,0.63157,0.93778,0.7367,0.98002,0.00091302,0.00091302,0.00091302
20,0.97595,0.7394,0.98219,0.77725,0.83612,0.85473,0.63681,0.92594,0.70955,0.98106,0.00090202,0.00090202,0.00090202
21,0.96756,0.71407,0.98283,0.75916,0.84367,0.8577,0.64004,0.93464,0.69372,0.98117,0.00089102,0.00089102,0.00089102
22,0.96467,0.72069,0.98017,0.76718,0.83822,0.86341,0.63755,0.9372,0.71007,0.97912,0.00088002,0.00088002,0.00088002
23,0.96713,0.71566,0.97847,0.78843,0.85051,0.86714,0.65131,0.91828,0.68118,0.97192,0.00086902,0.00086902,0.00086902
24,0.95301,0.71055,0.97129,0.73299,0.85592,0.85205,0.64225,0.91321,0.6825,0.96771,0.00085803,0.00085803,0.00085803
25,0.95098,0.70674,0.97077,0.77755,0.83301,0.86902,0.65013,0.91493,0.68276,0.97372,0.00084703,0.00084703,0.00084703
26,0.95198,0.70075,0.97346,0.7589,0.86163,0.85764,0.64734,0.90792,0.68711,0.96487,0.00083603,0.00083603,0.00083603
27,0.9395,0.68891,0.96917,0.77156,0.85239,0.86891,0.65743,0.89572,0.67605,0.96061,0.00082503,0.00082503,0.00082503
28,0.93823,0.68583,0.96621,0.78402,0.82761,0.8692,0.65108,0.90435,0.66278,0.97136,0.00081403,0.00081403,0.00081403
29,0.94197,0.69377,0.9699,0.77707,0.83109,0.86828,0.65502,0.90523,0.66986,0.96929,0.00080303,0.00080303,0.00080303
30,0.92624,0.67548,0.96385,0.76616,0.84085,0.87154,0.65651,0.90734,0.66852,0.96846,0.00079203,0.00079203,0.00079203
31,0.93648,0.6842,0.96683,0.76624,0.86079,0.86866,0.65911,0.90148,0.68069,0.96215,0.00078103,0.00078103,0.00078103
32,0.93094,0.68032,0.96348,0.76864,0.85537,0.87241,0.65874,0.90106,0.65168,0.9631,0.00077003,0.00077003,0.00077003
33,0.92585,0.66964,0.96292,0.79769,0.84836,0.8739,0.66233,0.89788,0.65937,0.96499,0.00075904,0.00075904,0.00075904
34,0.92165,0.6628,0.96089,0.75808,0.87576,0.86614,0.66124,0.90092,0.64955,0.96311,0.00074804,0.00074804,0.00074804
35,0.92219,0.67135,0.95971,0.77547,0.84252,0.87173,0.65942,0.90005,0.65243,0.96552,0.00073704,0.00073704,0.00073704
36,0.91335,0.6547,0.95753,0.78117,0.84187,0.87531,0.66246,0.89719,0.64922,0.96677,0.00072604,0.00072604,0.00072604
37,0.91201,0.65497,0.95826,0.76787,0.85872,0.87581,0.66554,0.89683,0.64196,0.96526,0.00071504,0.00071504,0.00071504
38,0.91189,0.65626,0.95799,0.77272,0.85476,0.87149,0.65932,0.89985,0.65402,0.96373,0.00070404,0.00070404,0.00070404
39,0.90989,0.64578,0.95468,0.7485,0.86435,0.88097,0.66442,0.88418,0.64324,0.95733,0.00069304,0.00069304,0.00069304
40,0.90115,0.6411,0.9531,0.78086,0.87527,0.8803,0.66991,0.89352,0.64066,0.96275,0.00068204,0.00068204,0.00068204
41,0.89494,0.64451,0.95101,0.78332,0.86566,0.87321,0.66761,0.89357,0.65962,0.96179,0.00067104,0.00067104,0.00067104
42,0.89569,0.63217,0.95371,0.77611,0.85735,0.88159,0.66797,0.89916,0.63795,0.96791,0.00066005,0.00066005,0.00066005
43,0.89206,0.63481,0.94875,0.7838,0.84616,0.87286,0.66719,0.89642,0.64433,0.9653,0.00064905,0.00064905,0.00064905
44,0.89049,0.63232,0.94932,0.78776,0.86217,0.87957,0.67456,0.88628,0.64916,0.95866,0.00063805,0.00063805,0.00063805
45,0.88811,0.6331,0.9493,0.77473,0.87112,0.87863,0.67248,0.89159,0.64214,0.95976,0.00062705,0.00062705,0.00062705
46,0.8818,0.61929,0.94441,0.78217,0.86874,0.88373,0.67653,0.89068,0.6328,0.96125,0.00061605,0.00061605,0.00061605
47,0.8761,0.62303,0.94291,0.77241,0.88328,0.88249,0.67827,0.88176,0.63062,0.95637,0.00060505,0.00060505,0.00060505
48,0.88161,0.61463,0.94504,0.78537,0.86754,0.88573,0.6839,0.88561,0.621,0.96035,0.00059405,0.00059405,0.00059405
49,0.87856,0.61643,0.94852,0.78286,0.86716,0.88768,0.67691,0.89218,0.62504,0.95952,0.00058305,0.00058305,0.00058305
50,0.87245,0.61531,0.94271,0.80618,0.83699,0.88973,0.68259,0.87638,0.62755,0.95556,0.00057205,0.00057205,0.00057205
51,0.86639,0.60532,0.94023,0.77555,0.87964,0.89421,0.68596,0.88709,0.61015,0.9683,0.00056105,0.00056105,0.00056105
52,0.86248,0.60603,0.94197,0.77582,0.87204,0.89309,0.68776,0.87824,0.6129,0.96141,0.00055006,0.00055006,0.00055006
53,0.86275,0.60523,0.93976,0.78026,0.85357,0.88911,0.68436,0.87244,0.6215,0.95805,0.00053906,0.00053906,0.00053906
54,0.85907,0.60453,0.93677,0.77066,0.88475,0.88597,0.68527,0.8765,0.60949,0.95882,0.00052806,0.00052806,0.00052806
55,0.86236,0.5988,0.93946,0.77826,0.8621,0.89156,0.68646,0.87816,0.61333,0.95747,0.00051706,0.00051706,0.00051706
56,0.85277,0.59654,0.93473,0.77534,0.87366,0.89133,0.68976,0.87668,0.61231,0.95906,0.00050606,0.00050606,0.00050606
57,0.85535,0.60195,0.93774,0.79603,0.87439,0.89224,0.69067,0.86901,0.60511,0.95515,0.00049506,0.00049506,0.00049506
58,0.84889,0.5911,0.93484,0.78871,0.87017,0.89578,0.69146,0.86635,0.60517,0.9546,0.00048406,0.00048406,0.00048406
59,0.85033,0.58869,0.93334,0.78248,0.88086,0.89096,0.68664,0.86867,0.61097,0.95272,0.00047306,0.00047306,0.00047306
60,0.84545,0.58573,0.93299,0.76364,0.89517,0.88749,0.68916,0.86662,0.61543,0.94985,0.00046206,0.00046206,0.00046206
61,0.84865,0.59156,0.93417,0.77965,0.87812,0.89627,0.69188,0.86965,0.60624,0.95021,0.00045107,0.00045107,0.00045107
62,0.84823,0.58507,0.93192,0.77048,0.87862,0.89028,0.69121,0.87653,0.60334,0.95674,0.00044007,0.00044007,0.00044007
63,0.83632,0.57729,0.929,0.77836,0.86757,0.88615,0.69065,0.86832,0.61209,0.95326,0.00042907,0.00042907,0.00042907
64,0.83259,0.57649,0.92617,0.78244,0.8812,0.89628,0.69091,0.86983,0.61208,0.95396,0.00041807,0.00041807,0.00041807
65,0.83342,0.56737,0.92815,0.78005,0.89435,0.88757,0.68883,0.86555,0.61719,0.95124,0.00040707,0.00040707,0.00040707
66,0.83089,0.56921,0.92691,0.78396,0.88085,0.89421,0.69458,0.86159,0.60887,0.94944,0.00039607,0.00039607,0.00039607
67,0.82097,0.56638,0.92537,0.78381,0.89817,0.89247,0.69568,0.86597,0.60179,0.95137,0.00038507,0.00038507,0.00038507
68,0.82254,0.56652,0.92399,0.77507,0.88579,0.88439,0.68783,0.86297,0.60665,0.95064,0.00037407,0.00037407,0.00037407
69,0.81868,0.56513,0.92406,0.76376,0.89584,0.88655,0.69371,0.85935,0.59696,0.95181,0.00036307,0.00036307,0.00036307
70,0.81231,0.56422,0.92321,0.76332,0.89958,0.89406,0.69765,0.86512,0.60199,0.95398,0.00035208,0.00035208,0.00035208
71,0.81226,0.55754,0.91951,0.76183,0.90459,0.89136,0.69355,0.86731,0.59569,0.95403,0.00034108,0.00034108,0.00034108
72,0.80633,0.55286,0.91967,0.75862,0.88622,0.88894,0.69419,0.86823,0.60551,0.95307,0.00033008,0.00033008,0.00033008
73,0.80911,0.55057,0.91878,0.77814,0.88068,0.88866,0.69444,0.85924,0.60635,0.95083,0.00031908,0.00031908,0.00031908
74,0.80659,0.54581,0.91759,0.77751,0.88348,0.89079,0.69505,0.85952,0.59686,0.94942,0.00030808,0.00030808,0.00030808
75,0.81296,0.55284,0.91955,0.76153,0.89085,0.88346,0.69068,0.86845,0.60657,0.95272,0.00029708,0.00029708,0.00029708
76,0.80265,0.54194,0.91689,0.75136,0.90488,0.89048,0.69726,0.86486,0.60628,0.95175,0.00028608,0.00028608,0.00028608
77,0.80241,0.5464,0.91606,0.7692,0.90293,0.88318,0.69328,0.86207,0.6005,0.94946,0.00027508,0.00027508,0.00027508
78,0.8002,0.54644,0.91851,0.78687,0.85662,0.87899,0.69121,0.86144,0.60764,0.94935,0.00026408,0.00026408,0.00026408
79,0.79153,0.53989,0.91247,0.76364,0.8839,0.88732,0.69619,0.85978,0.60233,0.94992,0.00025309,0.00025309,0.00025309
80,0.79237,0.52993,0.91315,0.7726,0.88329,0.88686,0.69558,0.86029,0.60112,0.94936,0.00024209,0.00024209,0.00024209
81,0.78663,0.5263,0.91062,0.76548,0.88308,0.88395,0.69141,0.8652,0.60426,0.95356,0.00023109,0.00023109,0.00023109
82,0.78482,0.52804,0.91337,0.77428,0.88584,0.88779,0.69542,0.8633,0.60332,0.95236,0.00022009,0.00022009,0.00022009
83,0.78333,0.53135,0.9146,0.77738,0.89062,0.88455,0.69538,0.86022,0.60854,0.953,0.00020909,0.00020909,0.00020909
84,0.78105,0.52714,0.91069,0.75904,0.91239,0.88509,0.69506,0.86007,0.60196,0.9518,0.00019809,0.00019809,0.00019809
85,0.77731,0.5284,0.91099,0.77843,0.88735,0.88809,0.69849,0.86013,0.60137,0.95095,0.00018709,0.00018709,0.00018709
86,0.77423,0.51921,0.90692,0.76651,0.90205,0.88583,0.69734,0.86573,0.60441,0.95246,0.00017609,0.00017609,0.00017609
87,0.7723,0.51843,0.90904,0.76059,0.91049,0.8891,0.69967,0.86547,0.59827,0.95585,0.00016509,0.00016509,0.00016509
88,0.76994,0.51376,0.90644,0.76372,0.90439,0.89054,0.70132,0.86658,0.59755,0.95621,0.0001541,0.0001541,0.0001541
